stock_code,target_month,model,sigma,sigma_source,n_residuals_product,abc_class,zero_mad
22968,2011-09,B2_ma3,86.732100,product,10,A,False
22969,2011-09,B2_ma3,426.000401,product,9,A,False
22970,2011-09,B2_ma3,349.893600,product,8,A,False
22971,2011-09,B2_ma3,128.986199,product,8,A,False
22972,2011-09,B2_ma3,100.322600,product,9,B,False
22973,2011-09,B2_ma3,62.763400,product,9,B,False
22974,2011-09,B2_ma3,106.747200,product,9,B,False
22975,2011-09,B2_ma3,71.659001,product,9,B,False
22976,2011-09,B2_ma3,51.396799,product,9,B,False
22977,2011-09,B2_ma3,49.420000,product,9,B,False
22978,2011-09,B2_ma3,100.816800,product,6,B,False
22979,2011-09,B2_ma3,31.628801,abc_group,5,B,False
22980,2011-09,B2_ma3,188.290200,product,6,B,False
22981,2011-09,B2_ma3,4.447800,abc_group,5,C,False
22982,2011-09,B2_ma3,4.447800,abc_group,5,C,False
22983,2011-09,B2_ma3,86.485000,product,11,B,False
22984,2011-09,B2_ma3,146.777400,product,11,C,False
22985,2011-09,B2_ma3,250.559400,product,11,B,False
22986,2011-09,B2_ma3,81.048800,product,11,B,False
22987,2011-09,B2_ma3,24.710000,product,11,C,False
22988,2011-09,B2_ma3,766.998401,product,9,A,False
22989,2011-09,B2_ma3,255.254300,product,6,A,False
22990,2011-09,B2_ma3,25.698400,product,6,B,False
22991,2011-09,B2_ma3,64.740200,product,6,B,False
22992,2011-09,B2_ma3,110.206600,product,6,B,False
22993,2011-09,B2_ma3,285.400500,product,6,A,False
22994,2011-09,B2_ma3,106.994300,product,6,C,False
22995,2011-09,B2_ma3,43.242500,product,6,C,False
22996,2011-09,B2_ma3,378.557200,product,6,C,False
22997,2011-09,B2_ma3,45.713500,product,6,C,False
22998,2011-09,B2_ma3,575.743000,product,6,B,False
22999,2011-09,B2_ma3,163.333100,product,6,C,False
23000,2011-09,B2_ma3,74.871300,product,6,C,False
23002,2011-09,B2_ma3,141.341200,product,6,C,False
23003,2011-09,B2_ma3,102.299401,product,6,C,False
23004,2011-09,B2_ma3,57.574300,product,6,C,False
23005,2011-09,B2_ma3,122.808700,product,6,C,False
23006,2011-09,B2_ma3,17.791200,product,6,C,False
23007,2011-09,B2_ma3,105.264600,abc_group,5,A,False
23008,2011-09,B2_ma3,105.264600,abc_group,5,A,False
23009,2011-09,B2_ma3,31.628801,abc_group,5,B,False
23010,2011-09,B2_ma3,31.628801,abc_group,5,B,False
23012,2011-09,B2_ma3,4.447800,abc_group,2,C,False
23013,2011-09,B2_ma3,4.447800,abc_group,2,C,False
23014,2011-09,B2_ma3,4.447800,abc_group,2,C,False
23015,2011-09,B2_ma3,4.447800,abc_group,2,C,False
23016,2011-09,B2_ma3,4.447800,abc_group,2,C,False
23017,2011-09,B2_ma3,4.447800,abc_group,2,C,False
23018,2011-09,B2_ma3,4.447800,abc_group,2,C,False
23019,2011-09,B2_ma3,4.447800,abc_group,2,C,False
23020,2011-09,B2_ma3,4.447800,abc_group,2,C,False
23021,2011-09,B2_ma3,4.447800,abc_group,2,C,False
23022,2011-09,B2_ma3,4.447800,abc_group,2,C,False
23023,2011-09,B2_ma3,4.447800,abc_group,2,C,False
23024,2011-09,B2_ma3,4.447800,abc_group,2,C,False
23025,2011-09,B2_ma3,4.447800,abc_group,2,C,False
23026,2011-09,B2_ma3,4.447800,abc_group,2,C,False
23027,2011-09,B2_ma3,4.447800,abc_group,2,C,False
23028,2011-09,B2_ma3,4.447800,abc_group,2,C,False
23029,2011-09,B2_ma3,4.447800,abc_group,2,C,False
23031,2011-09,B2_ma3,4.447800,abc_group,2,C,False
23032,2011-09,B2_ma3,4.447800,abc_group,2,C,False
23033,2011-09,B2_ma3,4.447800,abc_group,2,C,False
23034,2011-09,B2_ma3,4.447800,abc_group,2,C,False
23035,2011-09,B2_ma3,4.447800,abc_group,2,C,False
23036,2011-09,B2_ma3,4.447800,abc_group,2,C,False
23037,2011-09,B2_ma3,4.447800,abc_group,2,C,False
23038,2011-09,B2_ma3,4.447800,abc_group,1,C,False
23039,2011-09,B2_ma3,4.447800,abc_group,2,C,False
23040,2011-09,B2_ma3,4.447800,abc_group,4,C,False
23041,2011-09,B2_ma3,4.447800,abc_group,4,C,False
23042,2011-09,B2_ma3,4.447800,abc_group,4,C,False
23043,2011-09,B2_ma3,4.447800,abc_group,3,C,False
23044,2011-09,B2_ma3,4.447800,abc_group,3,C,False
23045,2011-09,B2_ma3,4.447800,abc_group,3,C,False
23046,2011-09,B2_ma3,4.447800,abc_group,3,C,False
23047,2011-09,B2_ma3,4.447800,abc_group,3,C,False
23048,2011-09,B2_ma3,4.447800,abc_group,4,C,False
23049,2011-09,B2_ma3,31.628801,abc_group,5,B,False
23050,2011-09,B2_ma3,31.628801,abc_group,5,B,False
23051,2011-09,B2_ma3,31.628801,abc_group,5,B,False
23052,2011-09,B2_ma3,31.628801,abc_group,5,B,False
23053,2011-09,B2_ma3,31.628801,abc_group,5,B,False
23054,2011-09,B2_ma3,31.628801,abc_group,5,B,False
23055,2011-09,B2_ma3,4.447800,abc_group,4,C,False
23056,2011-09,B2_ma3,4.447800,abc_group,4,C,False
23057,2011-09,B2_ma3,4.447800,abc_group,4,C,False
23060,2011-09,B2_ma3,4.447800,abc_group,4,C,False
23061,2011-09,B2_ma3,4.447800,abc_group,4,C,False
23064,2011-09,B2_ma3,4.447800,abc_group,4,C,False
23065,2011-09,B2_ma3,31.628801,abc_group,4,B,False
23066,2011-09,B2_ma3,4.447800,abc_group,4,C,False
23067,2011-09,B2_ma3,4.447800,abc_group,4,C,False
23068,2011-09,B2_ma3,4.447800,abc_group,4,C,False
23069,2011-09,B2_ma3,4.447800,abc_group,4,C,False
23070,2011-09,B2_ma3,4.447800,abc_group,3,C,False
23071,2011-09,B2_ma3,4.447800,abc_group,4,C,False
23072,2011-09,B2_ma3,4.447800,abc_group,3,C,False
23073,2011-09,B2_ma3,4.447800,abc_group,4,C,False
23075,2011-09,B2_ma3,4.447800,abc_group,4,C,False
23076,2011-09,B2_ma3,31.628801,abc_group,5,B,False
23077,2011-09,B2_ma3,31.628801,abc_group,5,B,False
23078,2011-09,B2_ma3,31.628801,abc_group,5,B,False
23079,2011-09,B2_ma3,4.447800,abc_group,3,C,False
23080,2011-09,B2_ma3,4.447800,abc_group,3,C,False
23081,2011-09,B2_ma3,4.447800,abc_group,3,C,False
23082,2011-09,B2_ma3,31.628801,abc_group,3,B,False
23083,2011-09,B2_ma3,4.447800,abc_group,3,C,False
23084,2011-09,B2_ma3,31.628801,abc_group,3,B,False
23085,2011-09,B2_ma3,4.447800,abc_group,3,C,False
23086,2011-09,B2_ma3,4.447800,abc_group,3,C,False
23087,2011-09,B2_ma3,4.447800,abc_group,3,C,False
23088,2011-09,B2_ma3,4.447800,abc_group,3,C,False
23089,2011-09,B2_ma3,4.447800,abc_group,3,C,False
23090,2011-09,B2_ma3,4.447800,abc_group,3,C,False
23091,2011-09,B2_ma3,31.628801,abc_group,3,B,False
23092,2011-09,B2_ma3,4.447800,abc_group,3,C,False
23093,2011-09,B2_ma3,4.447800,abc_group,3,C,False
23094,2011-09,B2_ma3,4.447800,abc_group,3,C,False
23096,2011-09,B2_ma3,4.447800,abc_group,3,C,False
23099,2011-09,B2_ma3,4.447800,abc_group,3,C,False
23100,2011-09,B2_ma3,4.447800,abc_group,3,C,False
23101,2011-09,B2_ma3,4.447800,abc_group,3,C,False
23102,2011-09,B2_ma3,4.447800,abc_group,3,C,False
23103,2011-09,B2_ma3,4.447800,abc_group,3,C,False
23104,2011-09,B2_ma3,4.447800,abc_group,3,C,False
23106,2011-09,B2_ma3,4.447800,abc_group,3,C,False
23107,2011-09,B2_ma3,4.447800,abc_group,3,C,False
23108,2011-09,B2_ma3,31.628801,abc_group,3,B,False
23109,2011-09,B2_ma3,4.447800,abc_group,3,C,False
23110,2011-09,B2_ma3,4.447800,abc_group,3,C,False
23111,2011-09,B2_ma3,31.628801,abc_group,3,B,False
23112,2011-09,B2_ma3,4.447800,abc_group,3,C,False
23118,2011-09,B2_ma3,31.628801,abc_group,3,B,False
23119,2011-09,B2_ma3,4.447800,abc_group,2,C,False
23120,2011-09,B2_ma3,4.447800,abc_group,2,C,False
23121,2011-09,B2_ma3,4.447800,abc_group,2,C,False
23122,2011-09,B2_ma3,4.447800,abc_group,2,C,False
23123,2011-09,B2_ma3,4.447800,abc_group,2,C,False
23124,2011-09,B2_ma3,4.447800,abc_group,2,C,False
23125,2011-09,B2_ma3,4.447800,abc_group,2,C,False
23126,2011-09,B2_ma3,31.628801,abc_group,5,B,False
23127,2011-09,B2_ma3,31.628801,abc_group,5,B,False
23128,2011-09,B2_ma3,31.628801,abc_group,5,B,False
23129,2011-09,B2_ma3,4.447800,abc_group,3,C,False
23130,2011-09,B2_ma3,4.447800,abc_group,3,C,False
23131,2011-09,B2_ma3,4.447800,abc_group,4,C,False
23132,2011-09,B2_ma3,4.447800,abc_group,4,C,False
23133,2011-09,B2_ma3,4.447800,abc_group,4,C,False
23134,2011-09,B2_ma3,31.628801,abc_group,4,B,False
23135,2011-09,B2_ma3,4.447800,abc_group,4,C,False
23136,2011-09,B2_ma3,4.447800,abc_group,4,C,False
23137,2011-09,B2_ma3,4.447800,abc_group,4,C,False
23138,2011-09,B2_ma3,4.447800,abc_group,4,C,False
23139,2011-09,B2_ma3,4.447800,abc_group,4,C,False
23140,2011-09,B2_ma3,4.447800,abc_group,4,C,False
23141,2011-09,B2_ma3,4.447800,abc_group,4,C,False
23142,2011-09,B2_ma3,4.447800,abc_group,4,C,False
23143,2011-09,B2_ma3,4.447800,abc_group,3,C,False
23144,2011-09,B2_ma3,31.628801,abc_group,4,B,False
23145,2011-09,B2_ma3,4.447800,abc_group,4,C,False
23146,2011-09,B2_ma3,4.447800,abc_group,4,C,False
23147,2011-09,B2_ma3,4.447800,abc_group,4,C,False
23148,2011-09,B2_ma3,4.447800,abc_group,4,C,False
23149,2011-09,B2_ma3,4.447800,abc_group,3,C,False
23150,2011-09,B2_ma3,4.447800,abc_group,4,C,False
23151,2011-09,B2_ma3,4.447800,abc_group,3,C,False
23152,2011-09,B2_ma3,4.447800,abc_group,4,C,False
23153,2011-09,B2_ma3,4.447800,abc_group,4,C,False
23154,2011-09,B2_ma3,31.628801,abc_group,5,B,False
23155,2011-09,B2_ma3,31.628801,abc_group,5,B,False
23156,2011-09,B2_ma3,31.628801,abc_group,5,B,False
23157,2011-09,B2_ma3,4.447800,abc_group,5,C,False
23158,2011-09,B2_ma3,31.628801,abc_group,5,B,False
23159,2011-09,B2_ma3,31.628801,abc_group,5,B,False
23160,2011-09,B2_ma3,4.447800,abc_group,3,C,False
23161,2011-09,B2_ma3,4.447800,abc_group,3,C,False
23162,2011-09,B2_ma3,31.628801,abc_group,4,B,False
23163,2011-09,B2_ma3,4.447800,abc_group,4,C,False
23164,2011-09,B2_ma3,4.447800,abc_group,3,C,False
23165,2011-09,B2_ma3,31.628801,abc_group,3,B,False
23166,2011-09,B2_ma3,1507.804200,product,7,A,False
23167,2011-09,B2_ma3,31.628801,abc_group,3,B,False
23168,2011-09,B2_ma3,4.447800,abc_group,3,C,False
23169,2011-09,B2_ma3,4.447800,abc_group,3,C,False
23170,2011-09,B2_ma3,31.628801,abc_group,3,B,False
23171,2011-09,B2_ma3,31.628801,abc_group,3,B,False
23172,2011-09,B2_ma3,31.628801,abc_group,3,B,False
23173,2011-09,B2_ma3,105.264600,abc_group,3,A,False
23174,2011-09,B2_ma3,31.628801,abc_group,3,B,False
23175,2011-09,B2_ma3,31.628801,abc_group,3,B,False
23176,2011-09,B2_ma3,31.628801,abc_group,5,B,False
23177,2011-09,B2_ma3,31.628801,abc_group,5,B,False
23178,2011-09,B2_ma3,4.447800,abc_group,5,C,False
23179,2011-09,B2_ma3,4.447800,abc_group,5,C,False
23180,2011-09,B2_ma3,4.447800,abc_group,5,C,False
23181,2011-09,B2_ma3,4.447800,abc_group,5,C,False
23182,2011-09,B2_ma3,31.628801,abc_group,5,B,False
23183,2011-09,B2_ma3,4.447800,abc_group,5,C,False
23184,2011-09,B2_ma3,31.628801,abc_group,5,B,False
23185,2011-09,B2_ma3,4.447800,abc_group,5,C,False
23186,2011-09,B2_ma3,4.447800,abc_group,5,C,False
23187,2011-09,B2_ma3,4.447800,abc_group,5,C,False
23188,2011-09,B2_ma3,4.447800,abc_group,2,C,False
23189,2011-09,B2_ma3,4.447800,abc_group,0,C,False
23190,2011-09,B2_ma3,4.447800,abc_group,3,C,False
23191,2011-09,B2_ma3,4.447800,abc_group,3,C,False
23192,2011-09,B2_ma3,4.447800,abc_group,3,C,False
23193,2011-09,B2_ma3,31.628801,abc_group,5,B,False
23194,2011-09,B2_ma3,31.628801,abc_group,5,B,False
23196,2011-09,B2_ma3,4.447800,abc_group,2,C,False
23197,2011-09,B2_ma3,4.447800,abc_group,2,C,False
23198,2011-09,B2_ma3,4.447800,abc_group,2,C,False
23199,2011-09,B2_ma3,105.264600,abc_group,4,A,False
23200,2011-09,B2_ma3,31.628801,abc_group,3,B,False
23201,2011-09,B2_ma3,105.264600,abc_group,4,A,False
23202,2011-09,B2_ma3,105.264600,abc_group,3,A,False
23203,2011-09,B2_ma3,105.264600,abc_group,3,A,False
23204,2011-09,B2_ma3,31.628801,abc_group,4,B,False
23205,2011-09,B2_ma3,31.628801,abc_group,4,B,False
23206,2011-09,B2_ma3,105.264600,abc_group,4,A,False
23207,2011-09,B2_ma3,31.628801,abc_group,4,B,False
23208,2011-09,B2_ma3,31.628801,abc_group,4,B,False
23209,2011-09,B2_ma3,105.264600,abc_group,3,A,False
23210,2011-09,B2_ma3,4.447800,abc_group,2,C,False
23211,2011-09,B2_ma3,4.447800,abc_group,2,C,False
23212,2011-09,B2_ma3,4.447800,abc_group,2,C,False
23213,2011-09,B2_ma3,4.447800,abc_group,2,C,False
23214,2011-09,B2_ma3,4.447800,abc_group,2,C,False
23215,2011-09,B2_ma3,4.447800,abc_group,2,C,False
23216,2011-09,B2_ma3,4.447800,abc_group,2,C,False
23217,2011-09,B2_ma3,4.447800,abc_group,2,C,False
23218,2011-09,B2_ma3,4.447800,abc_group,1,C,False
23219,2011-09,B2_ma3,4.447800,abc_group,2,C,False
23220,2011-09,B2_ma3,4.447800,abc_group,2,C,False
23221,2011-09,B2_ma3,4.447800,abc_group,3,C,False
23222,2011-09,B2_ma3,4.447800,abc_group,2,C,False
23223,2011-09,B2_ma3,4.447800,abc_group,2,C,False
23224,2011-09,B2_ma3,4.447800,abc_group,2,C,False
23225,2011-09,B2_ma3,4.447800,abc_group,2,C,False
23226,2011-09,B2_ma3,4.447800,abc_group,3,C,False
23227,2011-09,B2_ma3,4.447800,abc_group,3,C,False
23228,2011-09,B2_ma3,4.447800,abc_group,3,C,False
23229,2011-09,B2_ma3,4.447800,abc_group,2,C,False
23230,2011-09,B2_ma3,247.594200,product,7,B,False
23231,2011-09,B2_ma3,109.712400,product,7,B,False
23232,2011-09,B2_ma3,160.615001,product,7,B,False
23233,2011-09,B2_ma3,111.195000,product,7,C,False
23234,2011-09,B2_ma3,4.447800,abc_group,2,C,False
23235,2011-09,B2_ma3,4.447800,abc_group,2,C,False
23236,2011-09,B2_ma3,4.447800,abc_group,2,C,False
23237,2011-09,B2_ma3,4.447800,abc_group,2,C,False
23238,2011-09,B2_ma3,4.447800,abc_group,2,C,False
23239,2011-09,B2_ma3,4.447800,abc_group,2,C,False
23240,2011-09,B2_ma3,4.447800,abc_group,2,C,False
23241,2011-09,B2_ma3,4.447800,abc_group,2,C,False
23242,2011-09,B2_ma3,4.447800,abc_group,2,C,False
23243,2011-09,B2_ma3,4.447800,abc_group,2,C,False
23244,2011-09,B2_ma3,4.447800,abc_group,2,C,False
23245,2011-09,B2_ma3,4.447800,abc_group,2,C,False
23247,2011-09,B2_ma3,4.447800,abc_group,2,C,False
23249,2011-09,B2_ma3,4.447800,abc_group,2,C,False
23250,2011-09,B2_ma3,4.447800,abc_group,2,C,False
23251,2011-09,B2_ma3,4.447800,abc_group,2,C,False
23252,2011-09,B2_ma3,4.447800,abc_group,2,C,False
23253,2011-09,B2_ma3,31.628801,abc_group,4,B,False
23254,2011-09,B2_ma3,31.628801,abc_group,4,B,False
23255,2011-09,B2_ma3,31.628801,abc_group,4,B,False
23256,2011-09,B2_ma3,31.628801,abc_group,4,B,False
23263,2011-09,B2_ma3,4.447800,abc_group,2,C,False
23264,2011-09,B2_ma3,4.447800,abc_group,2,C,False
23265,2011-09,B2_ma3,4.447800,abc_group,2,C,False
23266,2011-09,B2_ma3,4.447800,abc_group,2,C,False
23267,2011-09,B2_ma3,4.447800,abc_group,2,C,False
23268,2011-09,B2_ma3,4.447800,abc_group,2,C,False
23269,2011-09,B2_ma3,4.447800,abc_group,2,C,False
23270,2011-09,B2_ma3,4.447800,abc_group,2,C,False
23271,2011-09,B2_ma3,4.447800,abc_group,2,C,False
23272,2011-09,B2_ma3,4.447800,abc_group,2,C,False
23273,2011-09,B2_ma3,4.447800,abc_group,2,C,False
23274,2011-09,B2_ma3,4.447800,abc_group,2,C,False
23275,2011-09,B2_ma3,4.447800,abc_group,2,C,False
23280,2011-09,B2_ma3,4.447800,abc_group,3,C,False
23281,2011-09,B2_ma3,4.447800,abc_group,3,C,False
23282,2011-09,B2_ma3,4.447800,abc_group,3,C,False
23283,2011-09,B2_ma3,31.628801,abc_group,4,B,False
23284,2011-09,B2_ma3,105.264600,abc_group,4,A,False
23285,2011-09,B2_ma3,4.447800,abc_group,2,C,False
23286,2011-09,B2_ma3,4.447800,abc_group,2,C,False
23287,2011-09,B2_ma3,4.447800,abc_group,2,C,False
23288,2011-09,B2_ma3,4.447800,abc_group,2,C,False
23289,2011-09,B2_ma3,4.447800,abc_group,2,C,False
23290,2011-09,B2_ma3,4.447800,abc_group,2,C,False
23291,2011-09,B2_ma3,4.447800,abc_group,2,C,False
23292,2011-09,B2_ma3,4.447800,abc_group,2,C,False
23293,2011-09,B2_ma3,4.447800,abc_group,1,C,False
23294,2011-09,B2_ma3,4.447800,abc_group,1,C,False
23295,2011-09,B2_ma3,4.447800,abc_group,1,C,False
23296,2011-09,B2_ma3,4.447800,abc_group,1,C,False
23297,2011-09,B2_ma3,4.447800,abc_group,1,C,False
23298,2011-09,B2_ma3,105.264600,abc_group,3,A,False
23299,2011-09,B2_ma3,31.628801,abc_group,3,B,False
23300,2011-09,B2_ma3,31.628801,abc_group,3,B,False
23301,2011-09,B2_ma3,31.628801,abc_group,3,B,False
23302,2011-09,B2_ma3,4.447800,abc_group,3,C,False
23306,2011-09,B2_ma3,4.447800,abc_group,2,C,False
23307,2011-09,B2_ma3,4.447800,abc_group,2,C,False
23308,2011-09,B2_ma3,4.447800,abc_group,2,C,False
23309,2011-09,B2_ma3,4.447800,abc_group,2,C,False
23310,2011-09,B2_ma3,4.447800,abc_group,2,C,False
23311,2011-09,B2_ma3,4.447800,abc_group,1,C,False
23312,2011-09,B2_ma3,4.447800,abc_group,1,C,False
23313,2011-09,B2_ma3,4.447800,abc_group,1,C,False
23314,2011-09,B2_ma3,4.447800,abc_group,1,C,False
23315,2011-09,B2_ma3,4.447800,abc_group,2,C,False
23316,2011-09,B2_ma3,4.447800,abc_group,2,C,False
23317,2011-09,B2_ma3,4.447800,abc_group,2,C,False
23318,2011-09,B2_ma3,4.447800,abc_group,1,C,False
23319,2011-09,B2_ma3,4.447800,abc_group,1,C,False
23320,2011-09,B2_ma3,4.447800,abc_group,1,C,False
23321,2011-09,B2_ma3,4.447800,abc_group,2,C,False
23322,2011-09,B2_ma3,4.447800,abc_group,2,C,False
23323,2011-09,B2_ma3,4.447800,abc_group,2,C,False
23324,2011-09,B2_ma3,4.447800,abc_group,0,C,False
23325,2011-09,B2_ma3,4.447800,abc_group,0,C,False
23326,2011-09,B2_ma3,4.447800,abc_group,0,C,False
23327,2011-09,B2_ma3,4.447800,abc_group,0,C,False
23328,2011-09,B2_ma3,4.447800,abc_group,0,C,False
23329,2011-09,B2_ma3,4.447800,abc_group,0,C,False
23330,2011-09,B2_ma3,4.447800,abc_group,0,C,False
23331,2011-09,B2_ma3,4.447800,abc_group,0,C,False
23332,2011-09,B2_ma3,4.447800,abc_group,0,C,False
23333,2011-09,B2_ma3,4.447800,abc_group,0,C,False
23334,2011-09,B2_ma3,4.447800,abc_group,0,C,False
23335,2011-09,B2_ma3,4.447800,abc_group,2,C,False
23336,2011-09,B2_ma3,4.447800,abc_group,2,C,False
23337,2011-09,B2_ma3,4.447800,abc_group,2,C,False
23338,2011-09,B2_ma3,4.447800,abc_group,2,C,False
23339,2011-09,B2_ma3,4.447800,abc_group,2,C,False
23340,2011-09,B2_ma3,4.447800,abc_group,1,C,False
23341,2011-09,B2_ma3,4.447800,abc_group,2,C,False
23342,2011-09,B2_ma3,4.447800,abc_group,2,C,False
23343,2011-09,B2_ma3,4.447800,abc_group,2,C,False
23344,2011-09,B2_ma3,4.447800,abc_group,2,C,False
23345,2011-09,B2_ma3,4.447800,abc_group,1,C,False
23346,2011-09,B2_ma3,4.447800,abc_group,1,C,False
23347,2011-09,B2_ma3,4.447800,abc_group,1,C,False
23348,2011-09,B2_ma3,4.447800,abc_group,4,C,False
23349,2011-09,B2_ma3,4.447800,abc_group,0,C,False
23350,2011-09,B2_ma3,4.447800,abc_group,0,C,False
23351,2011-09,B2_ma3,4.447800,abc_group,0,C,False
23352,2011-09,B2_ma3,4.447800,abc_group,0,C,False
23353,2011-09,B2_ma3,4.447800,abc_group,0,C,False
23354,2011-09,B2_ma3,4.447800,abc_group,0,C,False
23355,2011-09,B2_ma3,4.447800,abc_group,0,C,False
23356,2011-09,B2_ma3,4.447800,abc_group,0,C,False
23357,2011-09,B2_ma3,4.447800,abc_group,0,C,False
23358,2011-09,B2_ma3,4.447800,abc_group,0,C,False
23359,2011-09,B2_ma3,4.447800,abc_group,0,C,False
23360,2011-09,B2_ma3,4.447800,abc_group,0,C,False
23373,2011-09,B2_ma3,4.447800,abc_group,0,C,False
23374,2011-09,B2_ma3,4.447800,abc_group,0,C,False
23375,2011-09,B2_ma3,4.447800,abc_group,0,C,False
23431,2011-09,B2_ma3,4.447800,abc_group,0,C,False
23432,2011-09,B2_ma3,4.447800,abc_group,0,C,False
23433,2011-09,B2_ma3,4.447800,abc_group,0,C,False
23436,2011-09,B2_ma3,4.447800,abc_group,0,C,False
23437,2011-09,B2_ma3,4.447800,abc_group,0,C,False
23438,2011-09,B2_ma3,4.447800,abc_group,0,C,False
23439,2011-09,B2_ma3,4.447800,abc_group,0,C,False
23444,2011-09,B2_ma3,4.447800,abc_group,3,C,False
23445,2011-09,B2_ma3,4.447800,abc_group,0,C,False
23545,2011-09,B2_ma3,4.447800,abc_group,1,C,False
23546,2011-09,B2_ma3,4.447800,abc_group,1,C,False
23547,2011-09,B2_ma3,4.447800,abc_group,1,C,False
23548,2011-09,B2_ma3,4.447800,abc_group,1,C,False
23549,2011-09,B2_ma3,4.447800,abc_group,1,C,False
23550,2011-09,B2_ma3,4.447800,abc_group,1,C,False
23574,2011-09,B2_ma3,4.447800,abc_group,1,C,False
35001G,2011-09,B2_ma3,12.849200,product,15,B,False
35004B,2011-09,B2_ma3,41.512800,product,15,A,False
35004C,2011-09,B2_ma3,50.902601,product,15,A,False
35004G,2011-09,B2_ma3,13.343400,product,15,B,False
35095A,2011-09,B2_ma3,44.478000,product,15,C,False
35095B,2011-09,B2_ma3,140.352799,product,15,C,False
35241,2011-09,B2_ma3,11.366600,product,15,B,False
35265,2011-09,B2_ma3,1.976800,product,15,C,False
35443,2011-09,B2_ma3,0.494200,product,15,C,False
35471D,2011-09,B2_ma3,25.698401,product,15,C,False
35597D,2011-09,B2_ma3,2.471000,product,8,C,False
35598B,2011-09,B2_ma3,14.826000,product,15,C,False
35598D,2011-09,B2_ma3,28.169400,product,15,C,False
35599B,2011-09,B2_ma3,4.447800,product,12,C,False
35599D,2011-09,B2_ma3,6.918800,product,15,B,False
35607B,2011-09,B2_ma3,16.308600,product,15,C,False
35637A,2011-09,B2_ma3,8.401400,product,15,B,False
35637C,2011-09,B2_ma3,1.976800,product,15,C,False
35638A,2011-09,B2_ma3,0.741300,product,8,C,False
35638B,2011-09,B2_ma3,2.471000,product,13,C,False
35645,2011-09,B2_ma3,2.965200,product,13,C,False
35646,2011-09,B2_ma3,21.744800,product,15,C,False
35647,2011-09,B2_ma3,16.308600,product,15,C,False
35648,2011-09,B2_ma3,34.594000,product,15,C,False
35649,2011-09,B2_ma3,2.965200,product,15,B,False
35650,2011-09,B2_ma3,0.000000,product,11,C,True
35651,2011-09,B2_ma3,35.582400,product,13,C,False
35653,2011-09,B2_ma3,13.343400,product,15,C,False
35809A,2011-09,B2_ma3,112.183400,product,15,B,False
35809B,2011-09,B2_ma3,2.471000,product,13,C,False
35810A,2011-09,B2_ma3,78.577800,product,15,B,False
35810B,2011-09,B2_ma3,14.826000,product,15,C,False
35815P,2011-09,B2_ma3,2.223901,product,10,C,False
35816P,2011-09,B2_ma3,32.617200,product,11,C,False
35817P,2011-09,B2_ma3,23.721600,product,13,C,False
35818B,2011-09,B2_ma3,51.396800,product,12,C,False
35818P,2011-09,B2_ma3,19.273800,product,15,C,False
35819B,2011-09,B2_ma3,15.320200,product,15,C,False
35833P,2011-09,B2_ma3,12.355000,product,13,C,False
35909A,2011-09,B2_ma3,0.494200,product,11,C,False
35909B,2011-09,B2_ma3,0.494201,product,12,C,False
35910A,2011-09,B2_ma3,1.482600,product,15,C,False
35910B,2011-09,B2_ma3,0.000000,product,8,C,True
35911A,2011-09,B2_ma3,8.895600,product,15,C,False
35911B,2011-09,B2_ma3,1.976800,product,15,C,False
35912B,2011-09,B2_ma3,15.320200,product,15,C,False
35913B,2011-09,B2_ma3,2.965200,product,15,C,False
35914,2011-09,B2_ma3,8.895600,product,15,C,False
35915B,2011-09,B2_ma3,3.459400,product,15,C,False
35915C,2011-09,B2_ma3,3.459400,product,15,C,False
35916A,2011-09,B2_ma3,2.965200,product,15,C,False
35916B,2011-09,B2_ma3,3.459400,product,15,C,False
35916C,2011-09,B2_ma3,9.389800,product,15,C,False
35920,2011-09,B2_ma3,6.424600,product,11,C,False
35921,2011-09,B2_ma3,13.343400,product,15,C,False
35922,2011-09,B2_ma3,5.930400,product,15,C,False
35923,2011-09,B2_ma3,24.709999,product,15,C,False
35924,2011-09,B2_ma3,65.234400,product,15,A,False
35933,2011-09,B2_ma3,9.884000,product,12,C,False
35953,2011-09,B2_ma3,24.710000,product,13,C,False
35954,2011-09,B2_ma3,34.594000,product,14,C,False
35961,2011-09,B2_ma3,383.993400,product,15,A,False
35964,2011-09,B2_ma3,4.694900,product,14,C,False
35965,2011-09,B2_ma3,22.733201,product,15,B,False
35966,2011-09,B2_ma3,7.907200,product,13,C,False
35967,2011-09,B2_ma3,36.076600,product,15,C,False
35968,2011-09,B2_ma3,42.995400,product,15,C,False
35970,2011-09,B2_ma3,228.814600,product,15,A,False
35971,2011-09,B2_ma3,42.007000,product,15,B,False
35972,2011-09,B2_ma3,12.355000,product,15,C,False
37327,2011-09,B2_ma3,55.844600,product,15,C,False
37330,2011-09,B2_ma3,24.215800,product,15,B,False
37333,2011-09,B2_ma3,3.953600,product,15,C,False
37340,2011-09,B2_ma3,269.833200,product,15,B,False
37342,2011-09,B2_ma3,63.257599,product,15,B,False
37343,2011-09,B2_ma3,20.756400,product,15,B,False
37351,2011-09,B2_ma3,3.953600,product,15,C,False
37370,2011-09,B2_ma3,282.188200,product,15,A,False
37413,2011-09,B2_ma3,35.582400,product,6,C,False
37423,2011-09,B2_ma3,22.733200,product,15,C,False
37444A,2011-09,B2_ma3,11.366600,product,15,C,False
